candidate_id,firstname,lastname,email,password,skills,location,education,preferredJobTitle,experience,preferredJobType,preferredWorkType,softSkills
1,Ujalaa,Basheer,ujalaabasheer.96@hotmail.com,m9gAJvfq%x,"Hive, Spark, Hive, Scala, MapReduce, Scala",Quetta,PhD,Big Data Engineer,8,Contract,Onsite,"Problem Solving, Teamwork"
2,Abby,Faisal,abbyfaisal.35@hotmail.com,am8LFJ7FX(,"metasploit, metasploit, social engineering, social engineering",Bahawalpur,PhD,Ethical Hacker,18,Part-time,Remote,Communication
3,Tabinda,Latif,tabindalatif.30@hotmail.com,8V(59O!w5$,"secure coding practices, security compliance, secure coding practices, security protocols, security protocols",Rawalpindi,Masters,Security Architect,0,Full-time,Onsite,"Communication, Adaptability, Teamwork, Problem Solving"
4,Ismail,Shah,ismailshah.46@outlook.com,VU)8#YMz8H,"python, python, machine learning, data, analytics",Karachi,PhD,Data Scientist,12,Contract,Onsite,"Adaptability, Problem Solving, Communication, Teamwork"
5,Abubakar,Waheed,abubakarwaheed.95@gmail.com,%U7^MJRhBv,"incident escalation, security tool management, network traffic analysis, network traffic analysis, security tool management",Bahawalpur,Bachelors,Security Operations Center (SOC) Analyst,3,Full-time,Onsite,"Teamwork, Adaptability"
6,Arooha,Soomro,aroohasoomro.95@hotmail.com,g+16RRx$Pl,"troubleshooting, helpdesk, helpdesk",Nawabshah,Intermediate,IT Support Specialist,0,Part-time,Onsite,"Problem Solving, Teamwork"
7,Zia,Farid,ziafarid.72@gmail.com,&+Gn5rXdXc,"DevOps, Docker, DevOps, Docker, linuxCI/CD",Karachi,PhD,DevOps Engineer,9,Full-time,Remote,Communication
8,Nerda,Arain,nerdaarain.70@hotmail.com,X_Y1+*Iynb,"agile, agile, scrum",Sialkot,Bachelors,IT Project Manager,5,Part-time,Onsite,"Teamwork, Problem Solving"
9,Hassan,Khalid,hassankhalid.70@gmail.com,+1kImYX7g*,"requirements gathering, process improvement, process improvement",Islamabad,Bachelors,Business Analyst,3,Contract,Onsite,"Adaptability, Communication"
10,ALIYA,Sabir,aliyasabir.54@gmail.com,3I9XDVv5#T,"MySQL, PostgreSQL, NoSQL",Islamabad,PhD,Database Administrator,8,Full-time,Onsite,"Problem Solving, Adaptability, Teamwork"
11,Ismail,Warsi,ismailwarsi.15@gmail.com,)90$Zv@rHa,"networking, Linux, security",Quetta,PhD,System Administrator,18,Full-time,Remote,Problem Solving
12,Saad,Bilal,saadbilal.25@outlook.com,MUcu9Pbi@B,"JavaScript, JavaScript, frontend",Lahore,PhD,Backend Developer,15,Part-time,Onsite,"Adaptability, Problem Solving, Teamwork, Communication"
13,Sheraz,Javed,sherazjaved.67@hotmail.com,5v!1QTgRxx,"NLP, NLP, machine learning",Abbottabad,Intermediate,Machine Learning Engineer,2,Contract,Onsite,"Problem Solving, Adaptability, Communication"
14,Zain,Chand,zainchand.94@outlook.com,!pruJ1Xo6$,"hyperledger, hyperledger, smart contract, smart contract, smart contract",Bahawalpur,Masters,Blockchain Developer,4,Part-time,Onsite,"Communication, Teamwork"
15,Asad,Imran,asadimran.53@hotmail.com,+&29FS5qG^,"VPN, firewall configuration, wireless networking, wireless networking, VPN, network configuration",Peshawar,Bachelors,Network Administrator,5,Contract,Remote,"Teamwork, Communication, Adaptability"
16,Muhammad,Babar,muhammadbabar.91@gmail.com,G7QAgvDt$T,"CSS, CSS, HTML",Lahore,Bachelors,Frontend Developer,4,Full-time,Onsite,"Teamwork, Problem Solving, Adaptability, Communication"
17,Sonia,Riaz,soniariaz.24@hotmail.com,3d9E2YWn!P,"coding, coding, coding, coding",Gujranwala,Bachelors,Software Engineer,5,Part-time,Remote,"Communication, Problem Solving"
18,Khudija,Mirza,khudijamirza.92@outlook.com,XD2EuzB*^B,"MapReduce, Hadoop, Hive, Spark, Hadoop, Spark",Multan,PhD,Big Data Engineer,14,Full-time,Onsite,"Communication, Adaptability, Teamwork, Problem Solving"
19,Fiza,Gohar,fizagohar.15@gmail.com,y!J2pAaF69,"Unity, C#, C#, Unity",Sukkur,PhD,Game Developer,1,Full-time,Onsite,"Teamwork, Problem Solving"
20,Muhammad,Sharif,muhammadsharif.75@outlook.com,K+8zRFO6dr,"customer service, ticketing, customer service, troubleshooting, customer service, ticketing",Gujranwala,PhD,IT Support Specialist,11,Part-time,Remote,"Communication, Adaptability, Teamwork"
21,Samak,Iftikhar,samakiftikhar.55@hotmail.com,#9xOtrgRmb,"threat detection, network traffic analysis, network traffic analysis, security policies, threat detection",Nawabshah,Masters,Security Operations Center (SOC) Analyst,10,Full-time,Onsite,"Problem Solving, Teamwork"
22,Sidra,Jamal,sidrajamal.71@outlook.com,+4S6rNMcRM,"Scala, Hadoop, MapReduce, Scala, Spark",Bahawalpur,Intermediate,Big Data Engineer,0,Full-time,Remote,"Teamwork, Communication, Adaptability, Problem Solving"
23,Hareem,Saleh,hareemsaleh.49@hotmail.com,!o4PMilaiS,"algorithm, data structure, coding, coding, data structure",Rawalpindi,Bachelors,Software Engineer,4,Part-time,Remote,"Problem Solving, Adaptability, Teamwork, Communication"
24,Alexis,Jahan,alexisjahan.39@outlook.com,^9rMx^Ll@V,"ticketing, troubleshooting, helpdesk",Peshawar,Bachelors,IT Support Specialist,2,Part-time,Onsite,"Teamwork, Communication, Adaptability"
25,Annie,Sohail,anniesohail.57@outlook.com,p$al2WQfzR,"Azure, Google Cloud, cloud, IaC, AWS, IaC",Sukkur,Masters,Cloud Engineer,7,Part-time,Remote,"Problem Solving, Adaptability"
26,Maham,Memon,mahammemon.78@gmail.com,(66Rgaca!&,"PRINCE2, PRINCE2, PMP, PMP, PMP, scrum",Rawalpindi,Bachelors,IT Project Manager,1,Contract,Onsite,"Adaptability, Problem Solving, Teamwork"
27,Dua,Latif,dualatif.80@outlook.com,KH0T4#Lt@q,"risk assessment, threat intelligence, vulnerability assessment, IDPS, risk assessment, SIEM",Faisalabad,Masters,Cybersecurity Analyst,3,Part-time,Remote,"Communication, Adaptability, Problem Solving"
28,Sheraz,Mirza,sherazmirza.87@outlook.com,(^&BmqNxw3,"security tool management, incident escalation, security tool management, network traffic analysis, security tool management",Sialkot,Masters,Security Operations Center (SOC) Analyst,9,Full-time,Remote,Adaptability
29,Fizza,Sikandar,fizzasikandar.35@outlook.com,)0fVn9Wc@n,"Swift, Android, Kotlin, Swift, Android",Sialkot,Bachelors,Mobile App Developer,0,Full-time,Remote,"Problem Solving, Adaptability, Teamwork, Communication"
30,Zohaib,Abdul,zohaibabdul.79@outlook.com,)f6QEMTnt@,"security compliance, security risk assessment, threat modeling",Lahore,PhD,Security Architect,7,Full-time,Remote,"Adaptability, Communication, Teamwork"
31,Zainab,Inayat,zainabinayat.63@gmail.com,*5P7qnAdci,"requirements gathering, process improvement, stakeholder management, stakeholder management, stakeholder management",Nawabshah,Masters,Business Analyst,7,Part-time,Remote,"Problem Solving, Adaptability, Teamwork"
32,Yasir,Hashim,yasirhashim.18@outlook.com,9IKl31OdW*,"backend, backend, frontend, backend",Islamabad,Intermediate,Web Developer,2,Contract,Remote,"Teamwork, Communication, Adaptability"
33,Fatima,Fazal,fatimafazal.62@outlook.com,#np!%7Pnu*,"network security, metasploit, vulnerability assessment, web application security, network security, network security",Faisalabad,Masters,Ethical Hacker,0,Part-time,Remote,"Problem Solving, Teamwork, Adaptability, Communication"
34,Zee,Shaheen,zeeshaheen.57@outlook.com,0#4Nw#cMyp,"NLP, NLP, machine learning, NLP, NLP, machine learning",Karachi,Intermediate,AI Engineer,2,Full-time,Remote,"Problem Solving, Communication, Adaptability, Teamwork"
35,Ateeq,Khalil,ateeqkhalil.14@hotmail.com,R1#YLIB_*x,"business, strategy, consulting",Bahawalpur,Intermediate,IT Consultant,2,Contract,Onsite,Adaptability
36,Nazy,Ilyas,nazyilyas.30@hotmail.com,EE2@EcY6Q%,"python, analytics, R",Abbottabad,PhD,Data Scientist,5,Contract,Remote,"Adaptability, Problem Solving, Communication, Teamwork"
37,Hazara,Aslam,hazaraaslam.70@outlook.com,F_6+Rdx9#$,"Spark, Scala, MapReduce, MapReduce",Quetta,Intermediate,Big Data Engineer,1,Internship,Remote,"Communication, Teamwork"
38,Umair,Saleem,umairsaleem.99@hotmail.com,j3QqRCKL#6,"object detection, CNN, CNN",Multan,Masters,Computer Vision Engineer,4,Contract,Onsite,"Teamwork, Problem Solving"
39,Hassam,Ghani,hassamghani.11@hotmail.com,$0yKxytIIt,"blockchain, smart contract, blockchain",Hyderabad,PhD,Blockchain Developer,4,Contract,Remote,Teamwork
40,Eddie,Gul,eddiegul.62@hotmail.com,A1XM5dwv&i,"3D modeling, 3D modeling, Unity",Gujranwala,Intermediate,Game Developer,1,Part-time,Onsite,"Communication, Teamwork"
41,Dua,Imtiaz,duaimtiaz.92@gmail.com,^X1Kn!MVir,"business, ITIL, business",Sukkur,Masters,IT Consultant,9,Full-time,Onsite,"Problem Solving, Communication"
